,x_pos,y_pos,x_val,y_val,id
202,2,0,13.0,0.9942979548494681,2
203,2,0,14.0,0.9911842451125502,2
204,2,0,15.0,0.9867222520645897,2
205,2,0,16.0,0.9805126242186336,2
206,2,0,17.0,0.9721201849809191,2
207,2,0,18.0,0.9611048726780689,2
208,2,0,19.0,0.9470640865279687,2
209,2,0,20.0,0.9296831946399905,2
210,2,0,21.0,0.9087883698302728,2
211,2,0,22.0,0.8843938951865549,2
212,2,0,23.0,0.8567352897692836,2
213,2,0,24.0,0.8262805303805664,2
214,2,0,25.0,0.7937143997571319,2
215,2,0,26.0,0.7598952061230864,2
216,2,0,27.0,0.725787976934665,2
217,2,0,28.0,0.6923826493542035,2
218,2,0,29.0,0.6606087048578254,2
219,2,0,30.0,0.6312583992316648,2
220,2,0,31.0,0.6049290446201612,2
221,2,0,32.0,0.581991132734131,2
222,2,0,33.0,0.56258434684592,2
223,2,0,34.0,0.546638800602804,2
224,2,1,8.0,0.8421546014125438,7
225,2,1,9.0,0.8421546014125438,7
226,2,1,10.0,0.8421546014125438,7
227,2,1,11.0,0.8421546014125438,7
228,2,1,12.0,0.8421546014125438,7
229,2,1,13.0,0.8421546014125438,7
230,2,1,14.0,0.8421546014125438,7
231,2,1,15.0,0.8421546014125438,7
232,2,1,16.0,0.8421546014125438,7
233,2,1,17.0,0.8421546014125438,7
234,2,1,18.0,0.8421546014125438,7
235,2,1,19.0,0.8421546014125438,7
236,2,1,20.0,0.8421546014125438,7
237,2,1,21.0,0.8421546013909937,7
238,2,1,22.0,0.8421542744134689,7
239,2,1,23.0,0.8418158282694079,7
240,2,1,24.0,0.815721905924496,7
241,2,1,25.0,0.6378867610890838,7
242,2,1,26.0,0.5094936783764471,7
243,2,1,27.0,0.5000578028705616,7
244,2,1,28.0,0.5000000254928388,7
245,2,2,11.0,0.928251147255,12
246,2,2,12.0,0.9136782084661025,12
247,2,2,13.0,0.897345149169428,12
248,2,2,14.0,0.8793049740025911,12
249,2,2,15.0,0.8596683521895163,12
250,2,2,16.0,0.8386041207764954,12
251,2,2,17.0,0.8163363226815998,12
252,2,2,18.0,0.7931377241468095,12
253,2,2,19.0,0.7693200669103653,12
254,2,2,20.0,0.7452216146659479,12
255,2,2,21.0,0.7211928149544984,12
256,2,2,22.0,0.6975810842016845,12
257,2,2,23.0,0.6747158115372992,12
258,2,2,24.0,0.6528946550315143,12
259,2,2,25.0,0.6323720748879462,12
260,2,2,26.0,0.6133508284444664,12
261,2,2,27.0,0.5959768691527405,12
262,2,2,28.0,0.5803377805250676,12
263,2,2,29.0,0.5664645726131021,12
264,2,2,30.0,0.5543364058333056,12
265,2,2,31.0,0.5438876101728878,12
266,2,2,32.0,0.535016251875328,12
267,2,3,5.0,0.9723610874937767,17
268,2,3,6.0,0.9470453973631028,17
269,2,3,7.0,0.9081642021336207,17
270,2,3,8.0,0.8551636917200739,17
271,2,3,9.0,0.7910408075297679,17
272,2,3,10.0,0.7221851237403338,17
273,2,3,11.0,0.6565614191829067,17
274,2,3,12.0,0.6010508618040477,17
275,2,3,13.0,0.5593751261163002,17
276,2,3,14.0,0.5316047344227198,17
277,2,3,15.0,0.5151811007821836,17
278,3,0,12.0,0.9244258955480893,3
279,3,0,13.0,0.9244258955480893,3
280,3,0,14.0,0.9244258955480893,3
281,3,0,15.0,0.9244258955480893,3
282,3,0,16.0,0.9244258955480893,3
283,3,0,17.0,0.9244258955480893,3
284,3,0,18.0,0.9244258955480893,3
285,3,0,19.0,0.9244258955480893,3
286,3,0,20.0,0.9244258955480893,3
287,3,0,21.0,0.9244258955480893,3
288,3,0,22.0,0.9244258955480893,3
289,3,0,23.0,0.9244258955480893,3
290,3,0,24.0,0.9244258955480893,3
291,3,0,25.0,0.9244258955480893,3
292,3,0,26.0,0.9244258955480893,3
293,3,0,27.0,0.9244258955480893,3
294,3,0,28.0,0.9244258955480893,3
295,3,0,29.0,0.9244258955478692,3
296,3,0,30.0,0.9244258848891005,3
297,3,0,31.0,0.9243920112071493,3
298,3,0,32.0,0.9168539706980444,3
299,3,0,33.0,0.7821536527058253,3
300,3,0,34.0,0.5448863348713991,3
301,3,0,35.0,0.5007324225532396,3
302,3,0,36.0,0.5000008993196509,3
303,3,1,12.0,0.9681797473102837,8
304,3,1,13.0,0.9565463062103037,8
